오름명,행정시,소재지,위도,경도,비고,표고,면적,형태,데이터기준일자,주차장,화장실
굽은오름,제주시,제주특별자치도 제주시 한경면 조수2리 3666,33.3501173,126.184217,26,96,296443,복합형,#######,,
궁대악,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 4711,33.4349078,126.8170896,54,238.8,209701,복합형,#######,N,N
궁산,서귀포시,제주특별자치도 서귀포시 강정동 3712,33.2650338,126.4815835,37,187,73912,말굽형(북향),#######,,
권제오름,제주시,제주특별자치도 제주시 아라일동 350,33.4574322,126.5581964,28,297.7,43039,원추형,#######,,
궤펜이,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,33.4276176,126.6665803,167,792.1,529149,원형,#######,,
궷물오름,제주시,제주특별자치도 제주시 애월읍 금덕리 산136-1,33.4619478,126.3295244,57,597.2,138366,말굽형(북동향),#######,,
극락오름,제주시,제주특별자치도 제주시 애월읍 고성리 산3,33.436435,126.4142994,64,313.5,131583,말굽형(북서향),#######,,
금산,서귀포시,제주특별자치도 서귀포시 안덕면 사계리 3152-2,33.2361528,126.2858552,34,63.5,67769,원추형,#######,N,N
금오름,제주시,제주특별자치도 제주시 한림읍 금악리 산1-1,33.355577,126.3056877,178,427.5,613966,원형(화구호),#######,Y,N
까그래기,제주시,제주특별자치도 제주시 조천읍 교래리 128,33.4276176,126.6665803,49,429,132944,원형,#######,,
꾀꼬리오름,제주시,제주특별자치도 제주시 조천읍 대흘리 산33,33.4635865,126.6784027,58,428.3,110674,말굽형(북서향),#######,,
나시리오름,서귀포시,제주특별자치도 서귀포시 성산읍 난산리 2683,33.4145318,126.8357472,29,164,51624,말굽형(북향),#######,,
남산봉,서귀포시,제주특별자치도 서귀포시 성산읍 신풍리 1675-21,33.3860915,126.8081632,54,178.8,185332,원형,#######,N,N
남송이오름,서귀포시,제주특별자치도 서귀포시 안덕면 서광리 산33,33.3050158,126.3046682,139,339,366531,복합형,#######,Y,N
남짓은오름,제주시,제주특별자치도 제주시 연동 산25,33.4736946,126.496639,167,296.7,637805,말굽형(북서향),#######,,
낭끼오름,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 3954,33.4355716,126.842924,40,185.1,82601,원형,#######,N,N
넉시악,서귀포시,제주특별자치도 서귀포시 남원읍 의귀리 531-1,33.3244253,126.7317431,56,146.2,128854,말굽형(서북향),#######,,
넙거리,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,33.3352599,126.6681117,102,436.6,269857,원형,#######,,
넙거리,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,33.4276176,126.6665803,100,810,488263,말굽형(서향),#######,,
넙게오름,서귀포시,제주특별자치도 서귀포시 안덕면 서광리 943,33.2871076,126.3162332,62,246.5,260296,말굽형(서북향),#######,N,N
노꼬메족은오름,제주시,제주특별자치도 제주시 애월읍 유수암리 산138,33.3923111,126.4152399,124,774.4,601440,말굽형(북서향),#######,Y,Y
노꼬메큰오름,제주시,제주특별자치도 제주시 애월읍 유수암리 산138,33.3923111,126.4152399,234,833.8,923692,말굽형(북서향),#######,Y,Y
노로오름,제주시,제주특별자치도 제주시 애월읍 유수암리 산139,33.3809794,126.4304925,105,1070,475274,복합형,#######,,
노리손이,제주시,제주특별자치도 제주시 연동 산137,33.4270999,126.49896,136,616.2,222294,말굽형(북향),#######,,
녹남봉,서귀포시,제주특별자치도 서귀포시 대정읍 신도리 1304-1,33.2798153,126.1954827,50,100.4,124498,원형,#######,N,N
녹하지악,서귀포시,제주특별자치도 서귀포시 중문동 산5,33.3068124,126.4327117,121,620.5,340236,원추형,#######,,
논고악,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,33.299995,126.6297939,143,843,567616,원형,#######,,
논오름,서귀포시,제주특별자치도 서귀포시 안덕면 화순리 12-1,33.2668066,126.3411329,56,186,92566,말굽형(북동향),#######,Y,N
논오름,제주시,제주특별자치도 제주시 삼양일동 558-1,33.5174707,126.5983316,13,52.5,16244,원추형,#######,,
높은오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산213-1,33.4576129,126.7921824,175,405.3,951657,원형,#######,,
누운오름,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,33.3701721,126.4819697,71,1711.2,144548,원추형,#######,,
누운오름,제주시,제주특별자치도 제주시 한림읍 금악리 산10-5,33.361311,126.3300495,57,407,420021,복합형,#######,,
눈오름,제주시,제주특별자치도 제주시 애월읍 봉성리 2952-2,33.3689588,126.3505941,31,131.1,51576,말굽형(북향),#######,,
눈오름,제주시,제주특별자치도 제주시 애월읍 장전리 1756,33.449793,126.3756931,13,127.5,20780,말굽형(동향),#######,,
눈오름,제주시,제주특별자치도 제주시 해안동 166-5,33.4611392,126.4728015,54,203.5,105922,말굽형(북서향),#######,,
느지리오름,제주시,제주특별자치도 제주시 한림읍 상명리 산5,33.3653429,126.2613767,85,225,332844,복합형,#######,,
늡서리,제주시,제주특별자치도 제주시 조천읍 교래리 산119,33.4276176,126.6665803,59,488.9,115505,말굽형(북동향),#######,,
능화오름,제주시,제주특별자치도 제주시 오라동 산107,33.4079644,126.5215951,91,975.5,194370,말굽형(북향),#######,,
다랑쉬,제주시,제주특별자치도 제주시 구좌읍 세화리 산6,33.4765321,126.8218552,227,382.4,800463,원형,#######,Y,Y
다래오름,서귀포시,제주특별자치도 서귀포시 중문동 산1-1,33.3436613,126.4650215,64,983.8,128686,말굽형(서향),#######,Y,N
다래오름,제주시,제주특별자치도 제주시 애월읍 어음리 산25,33.3635035,126.4247413,87,696.5,231752,말굽형(북동향),#######,,
다래오름동북쪽2,제주시,제주특별자치도 제주시 애월읍 어도리 산1,33.3583057,126.3854375,40,725.9,97951,말굽형(동향),#######,,
단산,서귀포시,제주특별자치도 서귀포시 안덕면 사계리 3124-1,33.2395605,126.2893098,113,158,339982,원추형,#######,Y,N
달산봉,서귀포시,제주특별자치도 서귀포시 표선면 하천리 1043-1,33.3485734,126.8327895,87,136.5,152322,말굽형(동향),#######,N,N
당산봉,제주시,제주특별자치도 제주시 한경면 용수리 4705,33.3107155,126.1710775,118,148,534135,복합형,#######,Y,N
당산봉 알봉,제주시,제주특별자치도 제주시 한경면 용수리 2705,33.3105679,126.1767326,53,83,184267,원추형,#######,,
당오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산68-1,33.3331835,126.3358299,118,473,415293,원형,#######,,
당오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산199-1,33.4684776,126.7757638,69,274.1,141135,말굽형(북서향),#######,,
당오름,제주시,제주특별자치도 제주시 조천읍 와산리 산7-1,33.4783903,126.6882073,56,306.4,138170,말굽형(남향),#######,,
대록산,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산68,33.3988071,126.7063341,125,474.5,522097,원형,#######,N,Y
대물동산,제주시,제주특별자치도 제주시 구좌읍 송당리 1919,33.4654698,126.7852048,17,232.8,31003,말굽형(북향),#######,,
대병악,서귀포시,제주특별자치도 서귀포시 대정읍 상창리 산2-1,33.3066236,126.3704559,132,491.9,301657,말굽형(북향),#######,N,N
대수산봉,서귀포시,제주특별자치도 서귀포시 성산읍 고성리 2039-1,33.4382802,126.9036728,97,137.3,260522,원형,#######,,
대왕산,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 1431,33.456482,126.8727771,83,157.6,258195,말굽형(북서향),#######,N,N
대천이오름,제주시,제주특별자치도 제주시 조천읍 선흘리 산154,33.4523541,126.684223,67,447,135971,말굽형(북동향),#######,,
더데오름,서귀포시,제주특별자치도 서귀포시 상예동 4489-1,33.2716442,126.3744901,48,228.4,43434,원추형,#######,,
도너리오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산90,33.3245394,126.331734,110,439.6,306369,복합형,#######,,
도두봉,제주시,제주특별자치도 제주시 도두동 산1,33.5085355,126.4691787,55,65.3,80253,원추형,#######,,
